index,lexeme,cell,phon_form,alignment,stem,exponents,method,index,lexeme,cell,phon_form,alignment,stem,exponents,method
58954,rent-free,0,r e n t - f r e e,0 1 2 3 5 6 7 8,"""r e n t - f r e e""","""-""","Simple edit score, Progressive alignment",58954,rent-free,0,r e n t - f r e e,0 1 2 3 5 6 7 8,"""r e n t - f r e e""","""-""","Simple edit score, Progressive alignment with LCS"
23097,ducat,0,d u c a t,0 1 2 3 4,"""d u c a t -""","""-""","Simple edit score, Progressive alignment",23097,ducat,0,d u c a t,0 1 2 3 4,"""d u c a t -""","""-""","Simple edit score, Progressive alignment with LCS"
23098,ducat,1,d u c a t s,0 1 2 3 4 5,"""d u c a t -""","""- s""","Simple edit score, Progressive alignment",23098,ducat,1,d u c a t s,0 1 2 3 4 5,"""d u c a t -""","""- s""","Simple edit score, Progressive alignment with LCS"
15821,complicated,0,c o m p l i c a t e d,0 1 2 3 4 5 6 7 8 9 10,"""c o m p l i c a t e d -""","""-""","Simple edit score, Progressive alignment",15821,complicated,0,c o m p l i c a t e d,0 1 2 3 4 5 6 7 8 9 10,"""c o m p l i c a t e d -""","""-""","Simple edit score, Progressive alignment with LCS"
15822,complicated,1,c o m p l i c a t e d l y,0 1 2 3 4 5 6 7 8 9 10 15 16,"""c o m p l i c a t e d -""","""- l y""","Simple edit score, Progressive alignment",15822,complicated,1,c o m p l i c a t e d l y,0 1 2 3 4 5 6 7 8 9 10 15 16,"""c o m p l i c a t e d -""","""- l y""","Simple edit score, Progressive alignment with LCS"
15823,complicated,2,c o m p l i c a t e d n e s s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""c o m p l i c a t e d -""","""- n e s s""","Simple edit score, Progressive alignment",15823,complicated,2,c o m p l i c a t e d n e s s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""c o m p l i c a t e d -""","""- n e s s""","Simple edit score, Progressive alignment with LCS"
4635,babe,0,b a b e,0 1 2 3,"""b a b e -""","""-""","Simple edit score, Progressive alignment",4635,babe,0,b a b e,0 1 2 3,"""b a b e -""","""-""","Simple edit score, Progressive alignment with LCS"
4636,babe,1,b a b e s,0 1 2 3 4,"""b a b e -""","""- s""","Simple edit score, Progressive alignment",4636,babe,1,b a b e s,0 1 2 3 4,"""b a b e -""","""- s""","Simple edit score, Progressive alignment with LCS"
54069,post office box,0,p o s t _ o f f i c e _ b o x,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""p o s t _ o f f i c e _ b o x -""","""-""","Simple edit score, Progressive alignment",54069,post office box,0,p o s t _ o f f i c e _ b o x,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,"""p o s t _ o f f i c e _ b o x -""","""-""","Simple edit score, Progressive alignment with LCS"
54070,post office box,1,p o s t _ o f f i c e _ b o x e s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,"""p o s t _ o f f i c e _ b o x -""","""- e s""","Simple edit score, Progressive alignment",54070,post office box,1,p o s t _ o f f i c e _ b o x e s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,"""p o s t _ o f f i c e _ b o x -""","""- e s""","Simple edit score, Progressive alignment with LCS"
68487,sparing,0,s p a r i n g,2 3 4 5 6 7 8,"""- s p a r i n g -""","""-""","Simple edit score, Progressive alignment",68487,sparing,0,s p a r i n g,2 3 4 5 6 7 8,"""- s p a r i n g -""","""-""","Simple edit score, Progressive alignment with LCS"
68488,sparing,1,s p a r i n g l y,2 3 4 5 6 7 8 9 10,"""- s p a r i n g -""","""- l y""","Simple edit score, Progressive alignment",68488,sparing,1,s p a r i n g l y,2 3 4 5 6 7 8 9 10,"""- s p a r i n g -""","""- l y""","Simple edit score, Progressive alignment with LCS"
68489,sparing,2,u n s p a r i n g,0 1 2 3 4 5 6 7 8,"""- s p a r i n g -""","""u n -""","Simple edit score, Progressive alignment",68489,sparing,2,u n s p a r i n g,0 1 2 3 4 5 6 7 8,"""- s p a r i n g -""","""u n -""","Simple edit score, Progressive alignment with LCS"
68490,sparing,3,u n s p a r i n g l y,0 1 2 3 4 5 6 7 8 9 10,"""- s p a r i n g -""","""u n - l y""","Simple edit score, Progressive alignment",68490,sparing,3,u n s p a r i n g l y,0 1 2 3 4 5 6 7 8 9 10,"""- s p a r i n g -""","""u n - l y""","Simple edit score, Progressive alignment with LCS"
67102,smash up,0,s m a s h _ u p,0 1 2 3 4 11 12 13,"""s m a s h - u p -""","""- _ -""","Simple edit score, Progressive alignment",67102,smash up,0,s m a s h _ u p,0 1 2 3 4 11 12 13,"""s m a s h - u p -""","""- _ -""","Simple edit score, Progressive alignment with LCS"
67103,smash up,1,s m a s h - u p,0 1 2 3 4 12 13,"""s m a s h - u p -""","""-""","Simple edit score, Progressive alignment",67103,smash up,1,s m a s h - u p,0 1 2 3 4 12 13,"""s m a s h - u p -""","""-""","Simple edit score, Progressive alignment with LCS"
67104,smash up,2,s m a s h - u p s,0 1 2 3 4 12 13 14,"""s m a s h - u p -""","""- s""","Simple edit score, Progressive alignment",67104,smash up,2,s m a s h - u p s,0 1 2 3 4 12 13 14,"""s m a s h - u p -""","""- s""","Simple edit score, Progressive alignment with LCS"
67105,smash up,3,s m a s h e d _ u p,0 1 2 3 4 8 9 11 12 13,"""s m a s h - u p -""","""- e d _ -""","Simple edit score, Progressive alignment",67105,smash up,3,s m a s h e d _ u p,0 1 2 3 4 8 9 11 12 13,"""s m a s h - u p -""","""- e d _ -""","Simple edit score, Progressive alignment with LCS"
67106,smash up,4,s m a s h e s _ u p,0 1 2 3 4 8 10 11 12 13,"""s m a s h - u p -""","""- e s _ -""","Simple edit score, Progressive alignment",67106,smash up,4,s m a s h e s _ u p,0 1 2 3 4 8 10 11 12 13,"""s m a s h - u p -""","""- e s _ -""","Simple edit score, Progressive alignment with LCS"
67107,smash up,5,s m a s h i n g _ u p,0 1 2 3 4 5 6 7 11 12 13,"""s m a s h - u p -""","""- i n g _ -""","Simple edit score, Progressive alignment",67107,smash up,5,s m a s h i n g _ u p,0 1 2 3 4 5 6 7 11 12 13,"""s m a s h - u p -""","""- i n g _ -""","Simple edit score, Progressive alignment with LCS"
19476,darn,0,d a r n,0 1 2 5,"""d a r - n -""","""-""","Simple edit score, Progressive alignment",19476,darn,0,d a r n,0 1 2 3,"""d a r n -""","""-""","Simple edit score, Progressive alignment with LCS"
19477,darn,1,d a r n e d,0 1 2 5 7 8,"""d a r - n -""","""- e d""","Simple edit score, Progressive alignment",19477,darn,1,d a r n e d,0 1 2 3 7 8,"""d a r n -""","""- e d""","Simple edit score, Progressive alignment with LCS"
19478,darn,2,d a r n i n g,0 1 2 3 4 5 6,"""d a r - n -""","""- n i - g""","Simple edit score, Progressive alignment",19478,darn,2,d a r n i n g,0 1 2 3 4 5 6,"""d a r n -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
19479,darn,3,d a r n s,0 1 2 5 9,"""d a r - n -""","""- s""","Simple edit score, Progressive alignment",19479,darn,3,d a r n s,0 1 2 3 9,"""d a r n -""","""- s""","Simple edit score, Progressive alignment with LCS"
52410,pitot tube,0,p i t o t _ t u b e,0 1 2 3 4 5 6 7 8 9,"""p i t o t _ t u b e -""","""-""","Simple edit score, Progressive alignment",52410,pitot tube,0,p i t o t _ t u b e,0 1 2 3 4 5 6 7 8 9,"""p i t o t _ t u b e -""","""-""","Simple edit score, Progressive alignment with LCS"
52411,pitot tube,1,p i t o t _ t u b e s,0 1 2 3 4 5 6 7 8 9 10,"""p i t o t _ t u b e -""","""- s""","Simple edit score, Progressive alignment",52411,pitot tube,1,p i t o t _ t u b e s,0 1 2 3 4 5 6 7 8 9 10,"""p i t o t _ t u b e -""","""- s""","Simple edit score, Progressive alignment with LCS"
16273,congeal,0,c o n g e a l,0 1 2 3 4 5 6,"""c o n g e a l -""","""-""","Simple edit score, Progressive alignment",16273,congeal,0,c o n g e a l,0 1 2 3 4 5 6,"""c o n g e a l -""","""-""","Simple edit score, Progressive alignment with LCS"
16274,congeal,1,c o n g e a l e d,0 1 2 3 4 5 6 10 11,"""c o n g e a l -""","""- e d""","Simple edit score, Progressive alignment",16274,congeal,1,c o n g e a l e d,0 1 2 3 4 5 6 10 11,"""c o n g e a l -""","""- e d""","Simple edit score, Progressive alignment with LCS"
16275,congeal,2,c o n g e a l i n g,0 1 2 3 4 5 6 7 8 9,"""c o n g e a l -""","""- i n g""","Simple edit score, Progressive alignment",16275,congeal,2,c o n g e a l i n g,0 1 2 3 4 5 6 7 8 9,"""c o n g e a l -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
16276,congeal,3,c o n g e a l s,0 1 2 3 4 5 6 12,"""c o n g e a l -""","""- s""","Simple edit score, Progressive alignment",16276,congeal,3,c o n g e a l s,0 1 2 3 4 5 6 12,"""c o n g e a l -""","""- s""","Simple edit score, Progressive alignment with LCS"
37781,job lot,0,j o b _ l o t,0 1 2 3 4 5 6,"""j o b _ l o t -""","""-""","Simple edit score, Progressive alignment",37781,job lot,0,j o b _ l o t,0 1 2 3 4 5 6,"""j o b _ l o t -""","""-""","Simple edit score, Progressive alignment with LCS"
37782,job lot,1,j o b _ l o t s,0 1 2 3 4 5 6 7,"""j o b _ l o t -""","""- s""","Simple edit score, Progressive alignment",37782,job lot,1,j o b _ l o t s,0 1 2 3 4 5 6 7,"""j o b _ l o t -""","""- s""","Simple edit score, Progressive alignment with LCS"
10733,cabaret,0,c a b a r e t,0 1 2 3 4 5 6,"""c a b a r e t -""","""-""","Simple edit score, Progressive alignment",10733,cabaret,0,c a b a r e t,0 1 2 3 4 5 6,"""c a b a r e t -""","""-""","Simple edit score, Progressive alignment with LCS"
10734,cabaret,1,c a b a r e t s,0 1 2 3 4 5 6 7,"""c a b a r e t -""","""- s""","Simple edit score, Progressive alignment",10734,cabaret,1,c a b a r e t s,0 1 2 3 4 5 6 7,"""c a b a r e t -""","""- s""","Simple edit score, Progressive alignment with LCS"
14475,clove hitch,0,c l o v e _ h i t c h,0 1 2 3 4 5 6 7 8 9 10,"""c l o v e _ h i t c h -""","""-""","Simple edit score, Progressive alignment",14475,clove hitch,0,c l o v e _ h i t c h,0 1 2 3 4 5 6 7 8 9 10,"""c l o v e _ h i t c h -""","""-""","Simple edit score, Progressive alignment with LCS"
14476,clove hitch,1,c l o v e _ h i t c h e s,0 1 2 3 4 5 6 7 8 9 10 11 12,"""c l o v e _ h i t c h -""","""- e s""","Simple edit score, Progressive alignment",14476,clove hitch,1,c l o v e _ h i t c h e s,0 1 2 3 4 5 6 7 8 9 10 11 12,"""c l o v e _ h i t c h -""","""- e s""","Simple edit score, Progressive alignment with LCS"
9167,break-in,0,b r e a k - i n,0 1 2 3 4 5 6,"""b r e a k i n -""","""-""","Simple edit score, Progressive alignment",9167,break-in,0,b r e a k - i n,0 1 2 3 4 5 6,"""b r e a k i n -""","""-""","Simple edit score, Progressive alignment with LCS"
9168,break-in,1,b r e a k - i n s,0 1 2 3 4 5 6 7,"""b r e a k i n -""","""- s""","Simple edit score, Progressive alignment",9168,break-in,1,b r e a k - i n s,0 1 2 3 4 5 6 7,"""b r e a k i n -""","""- s""","Simple edit score, Progressive alignment with LCS"
46557,nape,0,n a p e,0 1 2 3,"""n a p e -""","""-""","Simple edit score, Progressive alignment",46557,nape,0,n a p e,0 1 2 3,"""n a p e -""","""-""","Simple edit score, Progressive alignment with LCS"
46558,nape,1,n a p e s,0 1 2 3 4,"""n a p e -""","""- s""","Simple edit score, Progressive alignment",46558,nape,1,n a p e s,0 1 2 3 4,"""n a p e -""","""- s""","Simple edit score, Progressive alignment with LCS"
6207,bed and breakfast,0,b e d _ a n d _ b r e a k f a s t,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,"""b e d _ a n d _ b r e a k f a s t""","""-""","Simple edit score, Progressive alignment",6207,bed and breakfast,0,b e d _ a n d _ b r e a k f a s t,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,"""b e d _ a n d _ b r e a k f a s t""","""-""","Simple edit score, Progressive alignment with LCS"
19430,dank,0,d a n k,0 1 2 3,"""d a n k -""","""-""","Simple edit score, Progressive alignment",19430,dank,0,d a n k,0 1 2 3,"""d a n k -""","""-""","Simple edit score, Progressive alignment with LCS"
19431,dank,1,d a n k e r,0 1 2 3 5 9,"""d a n k -""","""- e r""","Simple edit score, Progressive alignment",19431,dank,1,d a n k e r,0 1 2 3 5 9,"""d a n k -""","""- e r""","Simple edit score, Progressive alignment with LCS"
19432,dank,2,d a n k e s t,0 1 2 3 5 6 8,"""d a n k -""","""- e s t""","Simple edit score, Progressive alignment",19432,dank,2,d a n k e s t,0 1 2 3 5 6 8,"""d a n k -""","""- e s t""","Simple edit score, Progressive alignment with LCS"
19433,dank,3,d a n k n e s s,0 1 2 3 4 5 6 7,"""d a n k -""","""- n e s s""","Simple edit score, Progressive alignment",19433,dank,3,d a n k n e s s,0 1 2 3 4 5 6 7,"""d a n k -""","""- n e s s""","Simple edit score, Progressive alignment with LCS"
30850,glad,0,g l a d,0 1 2 4,"""g l a - d -""","""-""","Simple edit score, Progressive alignment",30850,glad,0,g l a d,0 1 2 4,"""g l a - d -""","""-""","Simple edit score, Progressive alignment with LCS"
30851,glad,1,g l a d d e n,0 1 2 3 4 5 8,"""g l a - d -""","""- d - e n""","Simple edit score, Progressive alignment",30851,glad,1,g l a d d e n,0 1 2 3 4 5 8,"""g l a - d -""","""- d - e n""","Simple edit score, Progressive alignment with LCS"
30852,glad,2,g l a d d e n e d,0 1 2 3 4 5 8 10 11,"""g l a - d -""","""- d - e n e d""","Simple edit score, Progressive alignment",30852,glad,2,g l a d d e n e d,0 1 2 3 4 5 8 10 11,"""g l a - d -""","""- d - e n e d""","Simple edit score, Progressive alignment with LCS"
30853,glad,3,g l a d d e n i n g,0 1 2 3 4 5 6 7 8 9,"""g l a - d -""","""- d - e n i n g""","Simple edit score, Progressive alignment",30853,glad,3,g l a d d e n i n g,0 1 2 3 4 5 6 7 8 9,"""g l a - d -""","""- d - e n i n g""","Simple edit score, Progressive alignment with LCS"
30854,glad,4,g l a d d e n s,0 1 2 3 4 5 8 12,"""g l a - d -""","""- d - e n s""","Simple edit score, Progressive alignment",30854,glad,4,g l a d d e n s,0 1 2 3 4 5 8 12,"""g l a - d -""","""- d - e n s""","Simple edit score, Progressive alignment with LCS"
30855,glad,5,g l a d d e r,0 1 2 3 4 5 6,"""g l a - d -""","""- d - e r""","Simple edit score, Progressive alignment",30855,glad,5,g l a d d e r,0 1 2 3 4 5 6,"""g l a - d -""","""- d - e r""","Simple edit score, Progressive alignment with LCS"
30856,glad,6,g l a d d e s t,0 1 2 3 4 5 12 13,"""g l a - d -""","""- d - e s t""","Simple edit score, Progressive alignment",30856,glad,6,g l a d d e s t,0 1 2 3 4 5 12 13,"""g l a - d -""","""- d - e s t""","Simple edit score, Progressive alignment with LCS"
30857,glad,7,g l a d l y,0 1 2 4 13 14,"""g l a - d -""","""- l y""","Simple edit score, Progressive alignment",30857,glad,7,g l a d l y,0 1 2 4 13 14,"""g l a - d -""","""- l y""","Simple edit score, Progressive alignment with LCS"
30858,glad,8,g l a d n e s s,0 1 2 4 8 10 11 12,"""g l a - d -""","""- n e s s""","Simple edit score, Progressive alignment",30858,glad,8,g l a d n e s s,0 1 2 4 8 10 11 12,"""g l a - d -""","""- n e s s""","Simple edit score, Progressive alignment with LCS"
31417,going in,0,i n g o i n g,0 1 2 3 4 5 6,"""i n g o i n g""","""-""","Simple edit score, Progressive alignment",31417,going in,0,i n g o i n g,0 1 2 3 4 5 6,"""i n g o i n g""","""-""","Simple edit score, Progressive alignment with LCS"
12166,catch on,0,c a t c h _ o n,0 1 5 6 7 13 14 15,"""c a - t - _ o n""","""- c h -""","Simple edit score, Progressive alignment",12166,catch on,0,c a t c h _ o n,0 1 5 6 7 13 14 15,"""c a - t - _ o n""","""- c h -""","Simple edit score, Progressive alignment with LCS"
12167,catch on,1,c a t c h e s _ o n,0 1 5 6 7 11 12 13 14 15,"""c a - t - _ o n""","""- c h e s -""","Simple edit score, Progressive alignment",12167,catch on,1,c a t c h e s _ o n,0 1 5 6 7 11 12 13 14 15,"""c a - t - _ o n""","""- c h e s -""","Simple edit score, Progressive alignment with LCS"
12168,catch on,2,c a t c h i n g _ o n,0 1 5 6 7 8 9 10 13 14 15,"""c a - t - _ o n""","""- c h i n g -""","Simple edit score, Progressive alignment",12168,catch on,2,c a t c h i n g _ o n,0 1 5 6 7 8 9 10 13 14 15,"""c a - t - _ o n""","""- c h i n g -""","Simple edit score, Progressive alignment with LCS"
12169,catch on,3,c a u g h t _ o n,0 1 2 3 4 5 13 14 15,"""c a - t - _ o n""","""- u g h -""","Simple edit score, Progressive alignment",12169,catch on,3,c a u g h t _ o n,0 1 2 3 4 5 13 14 15,"""c a - t - _ o n""","""- u g h -""","Simple edit score, Progressive alignment with LCS"
53362,point of no return,0,p o i n t _ o f _ n o _ r e t u r n,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,"""p o i n t _ o f _ n o _ r e t u r n""","""-""","Simple edit score, Progressive alignment",53362,point of no return,0,p o i n t _ o f _ n o _ r e t u r n,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,"""p o i n t _ o f _ n o _ r e t u r n""","""-""","Simple edit score, Progressive alignment with LCS"
58082,ready money,0,r e a d y _ m o n e y,0 1 2 3 4 5 6 7 8 9 10,"""r e a d y _ m o n e y -""","""-""","Simple edit score, Progressive alignment",58082,ready money,0,r e a d y _ m o n e y,0 1 2 3 4 5 6 7 8 9 10,"""r e a d y _ m o n e y -""","""-""","Simple edit score, Progressive alignment with LCS"
58083,ready money,1,r e a d y _ m o n e y s,0 1 2 3 4 5 6 7 8 9 10 11,"""r e a d y _ m o n e y -""","""- s""","Simple edit score, Progressive alignment",58083,ready money,1,r e a d y _ m o n e y s,0 1 2 3 4 5 6 7 8 9 10 11,"""r e a d y _ m o n e y -""","""- s""","Simple edit score, Progressive alignment with LCS"
7601,bloody hell,0,b l o o d y _ h e l l,0 1 2 3 4 5 6 7 8 9 10,"""b l o o d y _ h e l l""","""-""","Simple edit score, Progressive alignment",7601,bloody hell,0,b l o o d y _ h e l l,0 1 2 3 4 5 6 7 8 9 10,"""b l o o d y _ h e l l""","""-""","Simple edit score, Progressive alignment with LCS"
31976,grass widow,0,g r a s s _ w i d o w,0 1 2 3 4 5 6 7 8 9 10,"""g r a s s _ w i d o w -""","""-""","Simple edit score, Progressive alignment",31976,grass widow,0,g r a s s _ w i d o w,0 1 2 3 4 5 6 7 8 9 10,"""g r a s s _ w i d o w -""","""-""","Simple edit score, Progressive alignment with LCS"
31977,grass widow,1,g r a s s _ w i d o w s,0 1 2 3 4 5 6 7 8 9 10 11,"""g r a s s _ w i d o w -""","""- s""","Simple edit score, Progressive alignment",31977,grass widow,1,g r a s s _ w i d o w s,0 1 2 3 4 5 6 7 8 9 10 11,"""g r a s s _ w i d o w -""","""- s""","Simple edit score, Progressive alignment with LCS"
72156,sultan,0,s u l t a n,0 1 2 3 4 5,"""s u l t a n -""","""-""","Simple edit score, Progressive alignment",72156,sultan,0,s u l t a n,0 1 2 3 4 5,"""s u l t a n -""","""-""","Simple edit score, Progressive alignment with LCS"
72157,sultan,1,s u l t a n a t e,0 1 2 3 4 5 6 7 8,"""s u l t a n -""","""- a t e""","Simple edit score, Progressive alignment",72157,sultan,1,s u l t a n a t e,0 1 2 3 4 5 6 7 8,"""s u l t a n -""","""- a t e""","Simple edit score, Progressive alignment with LCS"
72158,sultan,2,s u l t a n a t e s,0 1 2 3 4 5 6 7 8 9,"""s u l t a n -""","""- a t e s""","Simple edit score, Progressive alignment",72158,sultan,2,s u l t a n a t e s,0 1 2 3 4 5 6 7 8 9,"""s u l t a n -""","""- a t e s""","Simple edit score, Progressive alignment with LCS"
72159,sultan,3,s u l t a n s,0 1 2 3 4 5 9,"""s u l t a n -""","""- s""","Simple edit score, Progressive alignment",72159,sultan,3,s u l t a n s,0 1 2 3 4 5 9,"""s u l t a n -""","""- s""","Simple edit score, Progressive alignment with LCS"
50758,pecan,0,p e c a n,0 1 2 3 4,"""p e c a n -""","""-""","Simple edit score, Progressive alignment",50758,pecan,0,p e c a n,0 1 2 3 4,"""p e c a n -""","""-""","Simple edit score, Progressive alignment with LCS"
50759,pecan,1,p e c a n s,0 1 2 3 4 5,"""p e c a n -""","""- s""","Simple edit score, Progressive alignment",50759,pecan,1,p e c a n s,0 1 2 3 4 5,"""p e c a n -""","""- s""","Simple edit score, Progressive alignment with LCS"
38918,knuckle under,0,k n u c k l e _ u n d e r,0 1 2 3 4 5 9 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e -""","Simple edit score, Progressive alignment",38918,knuckle under,0,k n u c k l e _ u n d e r,0 1 2 3 4 5 9 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e -""","Simple edit score, Progressive alignment with LCS"
38919,knuckle under,1,k n u c k l e d _ u n d e r,0 1 2 3 4 5 9 11 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e d -""","Simple edit score, Progressive alignment",38919,knuckle under,1,k n u c k l e d _ u n d e r,0 1 2 3 4 5 9 11 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e d -""","Simple edit score, Progressive alignment with LCS"
38920,knuckle under,2,k n u c k l e s _ u n d e r,0 1 2 3 4 5 9 10 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e s -""","Simple edit score, Progressive alignment",38920,knuckle under,2,k n u c k l e s _ u n d e r,0 1 2 3 4 5 9 10 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e s -""","Simple edit score, Progressive alignment with LCS"
38921,knuckle under,3,k n u c k l i n g _ u n d e r,0 1 2 3 4 5 6 7 8 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- i n g -""","Simple edit score, Progressive alignment",38921,knuckle under,3,k n u c k l i n g _ u n d e r,0 1 2 3 4 5 6 7 8 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- i n g -""","Simple edit score, Progressive alignment with LCS"
37734,jigsaw puzzle,0,j i g s a w _ p u z z l e,0 1 2 3 4 5 6 7 8 9 10 11 12,"""j i g s a w _ p u z z l e -""","""-""","Simple edit score, Progressive alignment",37734,jigsaw puzzle,0,j i g s a w _ p u z z l e,0 1 2 3 4 5 6 7 8 9 10 11 12,"""j i g s a w _ p u z z l e -""","""-""","Simple edit score, Progressive alignment with LCS"
37735,jigsaw puzzle,1,j i g s a w _ p u z z l e s,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""j i g s a w _ p u z z l e -""","""- s""","Simple edit score, Progressive alignment",37735,jigsaw puzzle,1,j i g s a w _ p u z z l e s,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""j i g s a w _ p u z z l e -""","""- s""","Simple edit score, Progressive alignment with LCS"
33415,happy medium,0,h a p p y _ m e d i a,0 1 2 3 4 5 6 7 8 9 10,"""h a p p y _ m e d i -""","""- a""","Simple edit score, Progressive alignment",33415,happy medium,0,h a p p y _ m e d i a,0 1 2 3 4 5 6 7 8 9 10,"""h a p p y _ m e d i -""","""- a""","Simple edit score, Progressive alignment with LCS"
33416,happy medium,1,h a p p y _ m e d i u m,0 1 2 3 4 5 6 7 8 9 11 12,"""h a p p y _ m e d i -""","""- u m""","Simple edit score, Progressive alignment",33416,happy medium,1,h a p p y _ m e d i u m,0 1 2 3 4 5 6 7 8 9 11 12,"""h a p p y _ m e d i -""","""- u m""","Simple edit score, Progressive alignment with LCS"
33417,happy medium,2,h a p p y _ m e d i u m s,0 1 2 3 4 5 6 7 8 9 11 12 13,"""h a p p y _ m e d i -""","""- u m s""","Simple edit score, Progressive alignment",33417,happy medium,2,h a p p y _ m e d i u m s,0 1 2 3 4 5 6 7 8 9 11 12 13,"""h a p p y _ m e d i -""","""- u m s""","Simple edit score, Progressive alignment with LCS"
67111,smashing,0,s m a s h i n g,0 1 2 3 4 5 6 7,"""s m a s h i n g""","""-""","Simple edit score, Progressive alignment",67111,smashing,0,s m a s h i n g,0 1 2 3 4 5 6 7,"""s m a s h i n g""","""-""","Simple edit score, Progressive alignment with LCS"
33875,head-on,0,h e a d - o n,0 1 2 3 5 6,"""h e a d - o n""","""-""","Simple edit score, Progressive alignment",33875,head-on,0,h e a d - o n,0 1 2 3 5 6,"""h e a d - o n""","""-""","Simple edit score, Progressive alignment with LCS"
